Date,ASHR40 SJ EQUITY_price
10/15/2008,1881
10/16/2008,1825
10/17/2008,1819
10/20/2008,1882
10/21/2008,1940
10/22/2008,1856
10/23/2008,1778
10/24/2008,1679
10/27/2008,1656
10/28/2008,1706
10/29/2008,1788
10/30/2008,1891
10/31/2008,1902
11/3/2008,1924
11/4/2008,1965
11/5/2008,1919
11/6/2008,1850
11/7/2008,1800
11/10/2008,1915
11/11/2008,1839
11/12/2008,1793
11/13/2008,1745
11/14/2008,1734
11/17/2008,1691
11/18/2008,1660
11/19/2008,1697
11/20/2008,1596
11/21/2008,1653
11/24/2008,1703
11/25/2008,1839
11/26/2008,1860
11/27/2008,1948
11/28/2008,1948
12/1/2008,1860
12/2/2008,1790
12/3/2008,1744
12/4/2008,1786
12/5/2008,1755
12/8/2008,1885
12/9/2008,1915
12/10/2008,2001
12/11/2008,1995
12/12/2008,1955
12/15/2008,2005
12/17/2008,2055
12/18/2008,2020
12/19/2008,1922
12/22/2008,1909
12/23/2008,1925
12/24/2008,1905
12/29/2008,1922
12/30/2008,1930
12/31/2008,1952
1/2/2009,1952
1/5/2009,2036
1/6/2009,2100
1/7/2009,2067
1/8/2009,2021
1/9/2009,2020
1/12/2009,2007
1/13/2009,1945
1/14/2009,1880
1/15/2009,1836
1/16/2009,1901
1/19/2009,1860
1/20/2009,1835
1/21/2009,1793
1/22/2009,1772
1/23/2009,1756
1/26/2009,1810
1/27/2009,1862
1/28/2009,1905
1/29/2009,1859
1/30/2009,1865
2/2/2009,1789
2/3/2009,1800
2/4/2009,1861
2/5/2009,1852
2/6/2009,1930
2/9/2009,1959
2/10/2009,1942
2/11/2009,1909
2/12/2009,1860
2/13/2009,1852
2/16/2009,1840
2/17/2009,1802
2/18/2009,1802
2/19/2009,1812
2/20/2009,1746
2/23/2009,1748
2/24/2009,1691
2/25/2009,1696
2/26/2009,1707
2/27/2009,1640
3/2/2009,1660
3/3/2009,1634
3/4/2009,1676
3/5/2009,1660
3/6/2009,1695
3/9/2009,1650
3/10/2009,1690
3/11/2009,1740
3/12/2009,1760
3/13/2009,1805
3/16/2009,1812
3/17/2009,1770
3/18/2009,1759
3/19/2009,1864
3/20/2009,1870
3/23/2009,1956
3/24/2009,1926
3/25/2009,1944
3/26/2009,1930
3/27/2009,1889
3/30/2009,1812
3/31/2009,1860
4/1/2009,1889
4/2/2009,1865
4/3/2009,1928
4/6/2009,1870
4/7/2009,1854
4/8/2009,1846
4/9/2009,1907
4/14/2009,1943
4/15/2009,1933
4/16/2009,1894
4/17/2009,1885
4/20/2009,1805
4/21/2009,1780
4/23/2009,1830
4/24/2009,1868
4/28/2009,1822
4/29/2009,1840
4/30/2009,1856
5/4/2009,1925
5/5/2009,1921
5/6/2009,1970
5/7/2009,1945
5/8/2009,1970
5/11/2009,1960
5/12/2009,1965
5/13/2009,1923
5/14/2009,1933
5/15/2009,1964
5/18/2009,1992
5/19/2009,2031
5/20/2009,2058
5/21/2009,1996
5/22/2009,2030
5/25/2009,2040
5/26/2009,1950
5/27/2009,2035
5/28/2009,2013
5/29/2009,2068
6/1/2009,2125
6/2/2009,2146
6/3/2009,2093
6/4/2009,2060
6/5/2009,2098
6/8/2009,2060
6/9/2009,2084
6/10/2009,2110
6/11/2009,2085
6/12/2009,2072
6/15/2009,2040
6/17/2009,1984
6/18/2009,1997
6/19/2009,2030
6/22/2009,1981
6/23/2009,1969
6/24/2009,2023
6/25/2009,2014
6/26/2009,2014
6/29/2009,2010
6/30/2009,1975
7/1/2009,2045
7/2/2009,1995
7/3/2009,1997
7/6/2009,1946
7/7/2009,1964
7/8/2009,2085
7/9/2009,1992
7/10/2009,2007
7/13/2009,2023
7/14/2009,2070
7/15/2009,2130
7/16/2009,2118
7/17/2009,2127
7/20/2009,2136
7/21/2009,2155
7/22/2009,2128
7/23/2009,2155
7/24/2009,2160
7/27/2009,2155
7/28/2009,2141
7/29/2009,2126
7/30/2009,2171
7/31/2009,2183
8/3/2009,2238
8/4/2009,2250
8/5/2009,2248
8/6/2009,2262
8/7/2009,2262
8/11/2009,2230
8/12/2009,2222
8/13/2009,2264
8/14/2009,2241
8/17/2009,2175
8/18/2009,2192
8/19/2009,2187
8/20/2009,2224
8/21/2009,2248
8/24/2009,2285
8/25/2009,2280
8/26/2009,2271
8/27/2009,2258
8/28/2009,2278
8/31/2009,2249
9/1/2009,2238
9/2/2009,2216
9/3/2009,2223
9/4/2009,2233
9/7/2009,2260
9/8/2009,2283
9/9/2009,2270
9/10/2009,2290
9/11/2009,2312
9/14/2009,2279
9/15/2009,2281
9/16/2009,2320
9/17/2009,2350
9/18/2009,2333
9/21/2009,2292
9/22/2009,2302
9/23/2009,2292
9/25/2009,2247
9/28/2009,2237
9/29/2009,2223
9/30/2009,2232
10/1/2009,2234
10/2/2009,2190
10/5/2009,2205
10/6/2009,2239
10/7/2009,2271
10/8/2009,2286
10/9/2009,2271
10/12/2009,2300
10/13/2009,2300
10/14/2009,2337
10/15/2009,2342
10/16/2009,2340
10/19/2009,2380
10/20/2009,2384
10/21/2009,2399
10/22/2009,2397
10/23/2009,2419
10/26/2009,2419
10/27/2009,2380
10/28/2009,2340
10/29/2009,2385
10/30/2009,2365
11/2/2009,2343
11/3/2009,2307
11/4/2009,2340
11/5/2009,2334
11/6/2009,2332
11/9/2009,2369
11/10/2009,2380
11/11/2009,2405
11/12/2009,2402
11/13/2009,2410
11/16/2009,2450
11/17/2009,2468
11/18/2009,2460
11/19/2009,2435
11/20/2009,2436
11/23/2009,2482
11/24/2009,2475
11/25/2009,2490
11/26/2009,2450
11/27/2009,2423
11/30/2009,2435
12/1/2009,2470
12/2/2009,2491
12/3/2009,2482
12/4/2009,2487
12/7/2009,2466
12/8/2009,2435
12/9/2009,2423
12/10/2009,2437
12/11/2009,2455
12/14/2009,2470
12/15/2009,2455
12/17/2009,2460
12/18/2009,2478
12/21/2009,2499
12/22/2009,2507
12/23/2009,2507
12/24/2009,2497
12/28/2009,2527
12/29/2009,2502
12/30/2009,2482
12/31/2009,2497
1/4/2010,2525
1/5/2010,2534
1/6/2010,2541
1/7/2010,2536
1/8/2010,2558
1/11/2010,2568
1/12/2010,2538
1/13/2010,2546
1/14/2010,2551
1/15/2010,2528
1/18/2010,2547
1/19/2010,2538
1/20/2010,2527
1/21/2010,2485
1/22/2010,2444
1/25/2010,2442
1/26/2010,2406
1/27/2010,2421
1/28/2010,2415
1/29/2010,2397
2/1/2010,2387
2/2/2010,2417
2/3/2010,2422
2/4/2010,2360
2/5/2010,2310
2/8/2010,2336
2/9/2010,2377
2/10/2010,2366
2/11/2010,2360
2/12/2010,2354
2/15/2010,2398
2/16/2010,2422
2/17/2010,2444
2/18/2010,2452
2/19/2010,2435
2/22/2010,2457
2/23/2010,2432
2/24/2010,2419
2/25/2010,2397
2/26/2010,2401
3/1/2010,2428
3/2/2010,2455
3/3/2010,2485
3/4/2010,2493
3/5/2010,2508
3/8/2010,2530
3/9/2010,2507
3/10/2010,2525
3/11/2010,2507
3/12/2010,2540
3/15/2010,2522
3/16/2010,2540
3/17/2010,2565
3/18/2010,2595
3/19/2010,2575
3/23/2010,2564
3/24/2010,2559
3/25/2010,2571
3/26/2010,2565
3/29/2010,2573
3/30/2010,2581
3/31/2010,2581
4/1/2010,2614
4/6/2010,2637
4/7/2010,2631
4/8/2010,2607
4/9/2010,2637
4/12/2010,2625
4/13/2010,2597
4/14/2010,2652
4/15/2010,2655
4/16/2010,2608
4/19/2010,2580
4/20/2010,2608
4/21/2010,2599
4/22/2010,2580
4/23/2010,2597
4/26/2010,2638
4/28/2010,2560
4/29/2010,2578
4/30/2010,2567
5/3/2010,2562
5/4/2010,2495
5/5/2010,2467
5/6/2010,2457
5/7/2010,2369
5/10/2010,2475
5/11/2010,2465
5/12/2010,2522
5/13/2010,2512
5/14/2010,2443
5/17/2010,2441
5/18/2010,2463
5/19/2010,2424
5/20/2010,2345
5/21/2010,2342
5/24/2010,2395
5/25/2010,2335
5/26/2010,2422
5/27/2010,2456
5/28/2010,2425
5/31/2010,2420
6/1/2010,2444
6/2/2010,2430
6/3/2010,2425
6/4/2010,2366
6/7/2010,2335
6/8/2010,2320
6/9/2010,2380
6/10/2010,2420
6/11/2010,2400
6/14/2010,2458
6/15/2010,2483
6/17/2010,2485
6/18/2010,2480
6/21/2010,2515
6/22/2010,2500
6/23/2010,2468
6/24/2010,2447
6/25/2010,2437
6/28/2010,2431
6/29/2010,2370
6/30/2010,2330
7/1/2010,2307
