Date,SYGALBB SJ EQUITY_price
2018-03-08,8.789
2018-03-09,8.655
2018-03-12,8.494
2018-03-13,8.398
2018-03-14,8.395
2018-03-15,8.479
2018-03-16,8.507
2018-03-19,8.541
2018-03-20,8.873
2018-03-22,9.014
2018-03-23,9.001
2018-03-26,9.189
2018-03-27,9.123
2018-03-28,9.154
2018-03-29,9.17
2018-04-03,14.575
2018-04-04,14.543
2018-04-05,14.611
2018-04-06,13.816
2018-04-09,13.802
2018-04-10,13.752
2018-04-11,13.737
2018-04-12,13.756
2018-04-13,13.632
2018-04-16,13.631
2018-04-17,13.637
2018-04-18,13.645
2018-04-19,13.385
2018-04-20,13.402
2018-04-23,13.503
2018-04-24,13.581
2018-04-25,13.665
2018-04-26,14.026
2018-04-30,14.041
2018-05-02,14.103
2018-05-03,14.103
2018-05-04,14.119
2018-05-07,13.586
2018-05-08,13.23
2018-05-09,13.287
2018-05-10,13.028
2018-05-11,13.079
2018-05-14,13.144
2018-05-15,13.269
2018-05-16,7.272
2018-05-17,7.092
2018-05-18,7.351
2018-05-21,7.348
2018-05-22,8.006
2018-05-23,8.032
2018-05-24,8.203
2018-05-25,8.201
2018-05-28,8.163
2018-05-29,8.384
2018-05-30,8.39
2018-05-31,8.316
2018-06-01,8.404
2018-06-04,8.71
2018-06-05,8.551
2018-06-06,8.498
2018-06-07,8.296
2018-06-08,8.609
2018-06-11,8.549
2018-06-12,8.482
2018-06-13,8.497
2018-06-14,9.065
2018-06-15,9.233
2018-06-18,9.21
2018-06-19,9.576
2018-06-20,10.444
2018-06-21,10.771
2018-06-22,10.779
2018-06-25,10.44
2018-06-26,10.43
2018-06-27,10.482
2018-06-28,10.095
2018-06-29,10.232
2018-07-02,9.798
2018-07-03,9.801
2018-07-04,9.855
2018-07-05,9.868
2018-07-06,9.878
2018-07-09,9.846
2018-07-10,9.991
2018-07-11,10.022
2018-07-12,9.784
2018-07-13,9.577
2018-07-16,9.517
2018-07-17,9.425
2018-07-18,9.398
2018-07-19,8.299
2018-07-20,8.245
2018-07-23,8.28
2018-07-24,8.283
2018-07-25,8.029
2018-07-26,7.568
2018-07-27,7.526
2018-07-30,6.367
2018-07-31,5.247
2018-08-01,4.973
2018-08-02,5.172
2018-08-03,5.16
2018-08-06,5.34
2018-08-07,5.235
2018-08-08,5.237
2018-08-10,5.84
2018-08-13,6.764
2018-08-14,6.974
2018-08-15,6.896
2018-08-16,6.867
2018-08-17,6.962
2018-08-20,6.821
2018-08-21,6.638
2018-08-22,6.761
2018-08-23,6.748
2018-08-24,6.83
2018-08-27,6.766
2018-08-28,6.74
2018-08-29,6.929
2018-08-30,6.945
2018-08-31,6.971
2018-09-03,6.961
2018-09-04,7.913
2018-09-05,7.606
2018-09-06,7.635
2018-09-07,7.658
2018-09-10,7.714
2018-09-11,7.756
2018-09-12,7.726
2018-09-13,8.023
2018-09-14,8.069
2018-09-17,8.203
2018-09-18,8.245
2018-09-19,8.809
2018-09-20,8.387
2018-09-21,7.682
2018-09-25,7.631
2018-09-26,7.648
2018-09-27,7.781
2018-09-28,7.643
2018-10-01,15.854
2018-10-02,15.905
2018-10-03,15.807
2018-10-04,15.839
2018-10-05,15.759
2018-10-08,15.721
2018-10-09,15.688
2018-10-10,15.82
2018-10-11,15.848
2018-10-12,15.912
2018-10-15,15.942
2018-10-16,15.577
2018-10-17,15.66
2018-10-18,15.601
2018-10-19,15.577
2018-10-22,15.609
2018-10-23,15.642
2018-10-24,15.746
2018-10-25,15.752
2018-10-26,15.806
2018-10-29,16.006
2018-10-30,15.926
2018-10-31,15.597
2018-11-01,15.694
2018-11-02,15.92
2018-11-05,15.904
2018-11-06,15.887
2018-11-07,15.878
2018-11-08,15.884
2018-11-09,7.703
2018-11-12,7.519
2018-11-13,7.531
2018-11-14,7.428
2018-11-15,7.314
2018-11-16,7.35
2018-11-19,7.397
2018-11-20,7.296
2018-11-21,7.114
2018-11-22,7.206
2018-11-23,7.338
2018-11-26,7.36
2018-11-27,7.367
2018-11-28,7.526
2018-11-29,7.865
2018-11-30,7.832
2018-12-03,7.793
2018-12-04,7.391
2018-12-05,6.887
2018-12-06,7.328
2018-12-07,6.966
2018-12-10,7.039
2018-12-11,6.816
2018-12-12,6.743
2018-12-13,6.427
2018-12-14,6.448
2018-12-18,6.492
2018-12-19,6.349
2018-12-20,6.428
2018-12-21,6.375
2018-12-24,6.351
2018-12-27,6.4
2018-12-28,6.4
2018-12-31,6.395
2019-01-02,6.447
2019-01-03,6.686
2019-01-04,6.89
2019-01-07,6.868
2019-01-08,6.924
2019-01-09,6.752
2019-01-10,6.79
2019-01-11,6.72
2019-01-14,6.712
2019-01-15,6.141
2019-01-16,6.163
2019-01-17,6.171
2019-01-18,6.562
2019-01-21,6.301
2019-01-22,5.894
2019-01-23,5.882
2019-01-24,5.727
2019-01-25,5.909
2019-01-28,5.941
2019-01-29,5.943
2019-01-30,5.844
2019-01-31,6.479
2019-02-01,6.469
2019-02-04,6.729
2019-02-05,6.768
2019-02-06,6.826
2019-02-07,6.861
2019-02-08,6.76
2019-02-11,7.343
2019-02-12,7.429
2019-02-13,7.22
2019-02-14,6.957
2019-02-15,7.003
2019-02-18,6.905
2019-02-19,6.944
2019-02-20,6.87
2019-02-21,7.058
2019-02-22,7.015
2019-02-25,7.136
2019-02-26,7.115
2019-02-27,7.287
2019-02-28,7.051
2019-03-01,7.16
2019-03-04,7.108
2019-03-05,7.27
2019-03-06,7.177
2019-03-07,6.983
2019-03-08,6.95
2019-03-11,7.029
2019-03-12,7.019
2019-03-13,6.137
2019-03-14,6.433
2019-03-15,6.309
2019-03-18,6.259
2019-03-19,6.359
2019-03-20,6.435
2019-05-14,5.639
2019-05-15,5.689
2019-05-16,5.62
2019-05-17,5.813
2019-05-20,5.633
2019-05-21,5.651
2019-05-22,5.766
2019-05-23,5.764
2019-05-24,5.733
2019-05-27,5.743
2019-05-28,5.729
2019-05-29,5.808
2019-05-30,5.801
2019-05-31,5.541
2019-06-03,5.336
2019-06-04,5.473
2019-06-05,5.406
2019-06-06,5.372
2019-06-07,5.149
2019-06-10,5.083
2019-06-11,5.393
2019-06-12,5.49
2019-06-13,5.928
2019-06-14,6.019
2019-06-18,6.127
2019-06-19,6.251
2019-06-20,6.648
2019-06-21,6.669
2019-06-24,6.744
2019-06-25,6.734
2019-06-26,6.658
2019-06-27,7.301
2019-06-28,7.109
2019-07-01,7.109
2019-07-02,7.112
2019-07-03,7.031
2019-07-04,7.134
2019-07-05,7.134
2019-07-08,7.076
2019-07-09,7.013
2019-07-10,6.936
2019-07-11,7.042
2019-07-12,7.239
2019-07-15,7.209
2019-07-16,7.029
2019-07-17,6.915
2019-07-18,6.894
2019-07-19,6.825
2019-07-22,6.801
2019-07-23,6.726
2019-07-24,6.747
2019-07-25,6.177
2019-07-26,7.267
2019-07-29,7.162
2019-07-30,7.046
2019-07-31,6.602
2019-08-01,6.324
2019-08-02,6.316
2019-08-05,6.59
2019-08-06,6.596
2019-08-07,5.825
2019-08-08,5.693
2019-08-12,5.838
2019-08-13,5.839
2019-08-14,5.75
2019-08-15,5.537
2019-08-16,5.784
2019-08-19,5.811
2019-08-20,5.812
2019-08-21,6.558
2019-08-22,6.384
2019-08-23,6.335
2019-08-26,6.349
2019-08-27,6.426
2019-08-28,6.465
2019-08-29,6.388
2019-08-30,6.396
2019-09-02,6.502
2019-09-03,6.566
2019-09-04,6.599
2019-09-05,6.595
2019-09-06,5.375
2019-09-09,5.374
2019-09-10,5.353
2019-09-11,5.337
2019-09-12,5.531
2019-09-13,5.38
2019-09-16,5.575
2019-09-17,5.672
2019-09-18,5.811
2019-09-19,5.792
2019-09-20,5.562
2019-09-23,5.557
2019-09-25,5.835
2019-09-26,5.881
2019-09-27,5.733
2019-09-30,5.736
2019-10-01,14.773
2019-10-02,14.481
2019-10-03,14.491
2019-10-04,14.61
2019-10-07,14.571
2019-10-08,14.577
2019-10-09,14.613
2019-10-10,14.637
2019-10-11,14.637
2019-10-14,14.555
2019-10-15,14.48
2019-10-16,14.413
2019-10-17,14.457
2019-10-18,14.485
2019-10-21,14.483
2019-10-22,14.531
2019-10-23,14.604
2019-10-24,14.435
2019-10-25,14.491
2019-10-28,14.366
2019-10-29,14.35
2019-10-30,14.801
