Date,SYGALBB SJ EQUITY_price
1/31/2018,95.53
2/1/2018,95.74
2/2/2018,95.76
2/5/2018,95.71
2/6/2018,95.56
2/7/2018,96.37
2/8/2018,96.06
2/9/2018,96.06
2/12/2018,96.46
2/13/2018,96.25
2/14/2018,96.59
2/15/2018,97.51
2/16/2018,98.54
2/19/2018,99.12
2/20/2018,98.75
2/21/2018,100.23
2/22/2018,99.84
2/23/2018,100.17
2/26/2018,100.27
2/27/2018,99.8
2/28/2018,99.05
3/1/2018,99.07
3/2/2018,98.91
3/5/2018,98.59
3/6/2018,99.5
3/7/2018,99.34
3/8/2018,99.7
3/9/2018,99.61
3/12/2018,99.8
3/13/2018,99.63
3/14/2018,99.74
3/15/2018,99.47
3/16/2018,99.31
3/19/2018,99.06
3/20/2018,100.25
3/22/2018,101.12
3/23/2018,101.22
3/26/2018,102.07
3/27/2018,102.06
3/28/2018,101.96
3/29/2018,101.3
4/3/2018,97.52
4/4/2018,96.92
4/5/2018,97.4
4/6/2018,97.21
4/9/2018,96.92
4/10/2018,97.02
4/11/2018,96.87
4/12/2018,97.19
4/13/2018,97.42
4/16/2018,97.31
4/17/2018,97.42
4/18/2018,97.69
4/19/2018,98.05
4/20/2018,97.76
4/23/2018,97.01
4/24/2018,96.45
4/25/2018,95.76
4/26/2018,96.64
4/30/2018,96.83
5/2/2018,96.28
5/3/2018,96.23
5/4/2018,95.87
5/7/2018,96.13
5/8/2018,95.8
5/9/2018,95.13
5/10/2018,95.51
5/11/2018,95.71
5/14/2018,95.93
5/15/2018,95.02
5/16/2018,94.78
5/17/2018,94.73
5/18/2018,93.81
5/21/2018,93.71
5/22/2018,94.61
5/23/2018,94.8
5/24/2018,95.26
5/25/2018,95.57
5/28/2018,95.65
5/29/2018,94.98
5/30/2018,95.11
5/31/2018,95.05
6/1/2018,94.35
6/4/2018,94.97
6/5/2018,94.5
6/6/2018,94.06
6/7/2018,93.79
6/8/2018,92.5
6/11/2018,92.24
6/12/2018,92.3
6/13/2018,92.34
6/14/2018,93.22
6/15/2018,92.47
6/18/2018,92.34
6/19/2018,91.27
6/20/2018,92.5
6/21/2018,93.26
6/22/2018,93.5
6/25/2018,93.44
6/26/2018,93.51
6/27/2018,93.14
6/28/2018,93.23
6/29/2018,93.74
7/2/2018,93.62
7/3/2018,93.82
7/4/2018,94.37
7/5/2018,94.71
7/6/2018,94.86
7/9/2018,95.47
7/10/2018,94.93
7/11/2018,94.67
7/12/2018,94.5
