Date,SYGT40 SJ EQUITY_price
11/1/2017,5343
11/2/2017,5316
11/3/2017,5358
11/6/2017,5402
11/7/2017,5423
11/8/2017,5405
11/9/2017,5391
11/10/2017,5377
11/13/2017,5381
11/14/2017,5372
11/15/2017,5313
11/16/2017,5336
11/17/2017,5388
11/20/2017,5429
11/21/2017,5517
11/22/2017,5456
11/23/2017,5407
11/24/2017,5404
11/27/2017,5384
11/28/2017,5372
11/29/2017,5396
11/30/2017,5346
12/1/2017,5296
12/4/2017,5302
12/5/2017,5244
12/6/2017,5155
12/7/2017,5173
12/8/2017,5167
12/11/2017,5166
12/12/2017,5122
12/13/2017,5119
12/14/2017,5155
12/15/2017,5101
12/18/2017,5100
12/19/2017,5123
12/20/2017,5135
12/21/2017,5223
12/22/2017,5200
12/27/2017,5198
12/28/2017,5208
12/29/2017,5256
1/2/2018,5282
1/3/2018,5282
1/4/2018,5248
1/5/2018,5291
1/8/2018,5320
1/9/2018,5322
1/10/2018,5322
1/11/2018,5288
1/12/2018,5338
1/15/2018,5338
1/16/2018,5386
1/17/2018,5412
1/18/2018,5417
1/19/2018,5405
1/22/2018,5433
1/23/2018,5461
1/24/2018,5467
1/25/2018,5455
1/26/2018,5458
1/29/2018,5388
1/30/2018,5266
1/31/2018,5268
2/1/2018,5250
2/2/2018,5195
2/5/2018,5048
2/6/2018,4976
2/7/2018,5021
2/8/2018,4997
2/9/2018,4915
2/12/2018,4962
2/13/2018,5044
2/14/2018,5045
2/15/2018,5253
2/16/2018,5202
2/19/2018,5184
2/20/2018,5098
2/21/2018,5198
2/22/2018,5127
2/23/2018,5179
2/26/2018,5195
2/27/2018,5208
2/28/2018,5143
3/1/2018,5104
3/2/2018,5073
3/5/2018,5100
3/6/2018,5226
3/7/2018,5216
3/8/2018,5241
3/9/2018,5244
3/12/2018,5275
3/13/2018,5262
3/14/2018,5208
3/15/2018,5181
3/16/2018,5188
3/19/2018,5162
3/20/2018,5178
3/22/2018,5061
3/23/2018,5000
3/26/2018,4986
3/27/2018,4978
3/28/2018,4860
3/29/2018,4929
4/3/2018,4875
4/4/2018,4833
4/5/2018,4951
4/6/2018,4972
4/9/2018,4987
4/10/2018,5056
4/11/2018,5018
4/12/2018,5033
4/13/2018,5052
4/16/2018,5074
4/17/2018,5063
4/18/2018,5155
4/19/2018,5133
4/20/2018,5135
4/23/2018,5146
4/24/2018,5161
4/25/2018,5089
4/26/2018,5133
4/30/2018,5187
5/2/2018,5205
5/3/2018,5101
5/4/2018,5134
5/7/2018,5167
5/8/2018,5158
5/9/2018,5207
5/10/2018,5219
5/11/2018,5239
5/14/2018,5262
5/15/2018,5205
5/16/2018,5275
5/17/2018,5251
5/18/2018,5190
5/21/2018,5188
5/22/2018,5218
5/23/2018,5118
5/24/2018,5100
5/25/2018,5120
5/28/2018,5114
5/29/2018,5037
5/30/2018,4993
5/31/2018,5054
6/1/2018,5146
6/4/2018,5229
6/5/2018,5198
6/6/2018,5230
6/7/2018,5265
6/8/2018,5231
6/11/2018,5252
6/12/2018,5252
6/13/2018,5293
6/14/2018,5297
6/15/2018,5199
6/18/2018,5153
6/19/2018,5066
6/20/2018,5100
6/21/2018,5075
6/22/2018,5105
6/25/2018,5027
6/26/2018,4992
6/27/2018,5000
6/28/2018,5028
6/29/2018,5203
7/2/2018,5171
7/3/2018,5201
7/4/2018,5155
7/5/2018,5119
7/6/2018,5120
7/9/2018,5202
7/10/2018,5174
7/11/2018,5096
7/12/2018,5068
7/13/2018,5016
7/16/2018,4958
7/17/2018,4991
7/18/2018,5009
7/19/2018,5022
7/20/2018,5093
